,Fishing,TugTow,Recreational,Passenger,Cargo,Tanker,Other,Unavailable
2018/10/27,10,44,197,71,23,9,22,27
2018/10/28,7,39,203,58,28,12,19,21
2018/10/29,7,46,153,66,29,15,27,26
2018/10/30,7,45,140,58,30,16,32,20
2018/10/31,7,42,146,60,27,14,35,22
2018/11/01,6,51,151,58,29,17,30,19
2018/11/02,7,49,158,63,21,13,28,24
2018/11/03,9,47,193,62,23,12,22,24
2018/11/04,7,43,201,48,26,10,21,23
2018/11/05,8,49,169,54,25,8,26,22
2018/11/06,9,49,146,50,28,7,21,25
2018/11/07,8,48,140,58,25,12,21,25
2018/11/08,8,47,145,58,25,10,20,22
2018/11/09,10,49,149,60,19,12,22,24
2018/11/10,7,46,171,60,19,12,21,21
2018/11/11,9,44,185,48,23,10,18,23
2018/11/12,14,48,158,53,23,10,20,27
2018/11/13,15,52,140,52,27,9,23,24
2018/11/14,19,49,127,54,26,11,22,25
2018/11/15,15,50,126,54,29,12,20,28
2018/11/16,13,48,133,54,30,12,21,23
2018/11/17,14,48,126,50,27,11,19,23
2018/11/18,14,44,126,44,24,10,19,22
2018/11/19,13,45,125,50,27,12,25,23
2018/11/20,11,51,116,46,24,15,22,23
2018/11/21,10,50,112,44,23,17,21,25
2018/11/22,6,47,109,45,22,16,17,17
2018/11/23,4,40,114,38,25,15,18,20
2018/11/24,10,40,147,41,24,12,18,15
2018/11/25,12,36,168,44,35,14,19,21
2018/11/26,11,42,137,47,39,10,26,23
2018/11/27,10,39,121,48,40,11,25,23
2018/11/28,11,40,119,51,38,12,26,24
2018/11/29,10,40,119,46,33,9,26,26
2018/11/30,9,42,135,57,27,6,30,25
2018/12/01,11,37,149,58,30,7,24,22
2018/12/02,12,38,151,54,35,12,20,18
2018/12/03,13,43,130,56,38,14,25,26
2018/12/04,11,43,115,46,34,11,27,25
2018/12/05,7,47,119,51,26,11,24,26
2018/12/06,11,43,117,57,24,10,26,25
2018/12/07,10,48,124,58,25,10,30,30
2018/12/08,10,45,151,59,24,5,24,30
2018/12/09,10,40,162,49,21,6,20,25
2018/12/10,8,45,133,47,22,10,29,23
2018/12/11,6,39,126,52,25,13,26,23
2018/12/12,7,40,127,50,22,15,25,23
2018/12/13,11,40,126,54,26,14,26,26
2018/12/14,9,40,122,58,26,13,26,27
2018/12/15,8,43,142,55,30,13,21,21
2018/12/16,7,39,129,46,26,15,23,20
2018/12/17,6,49,120,44,24,10,29,24
2018/12/18,10,50,128,44,29,12,31,26
2018/12/19,12,46,134,48,26,10,27,23
