index,Total,Fishing,TugTow,Recreational,Passenger,Cargo,Tanker,Other,Unavailable
2018-04-16,313.0,8.0,35.0,136.0,51.0,30.0,22.0,23.0,8.0
2018-04-17,306.0,8.0,38.0,127.0,51.0,31.0,20.0,20.0,11.0
2018-04-18,321.0,11.0,38.0,130.0,58.0,35.0,15.0,23.0,11.0
2018-04-19,335.0,13.0,41.0,137.0,59.0,36.0,18.0,19.0,12.0
2018-04-20,357.0,10.0,43.0,164.0,55.0,34.0,19.0,21.0,11.0
2018-04-21,409.0,10.0,40.0,219.0,59.0,30.0,18.0,19.0,14.0
2018-04-22,422.0,10.0,35.0,247.0,55.0,28.0,16.0,18.0,13.0
2018-04-23,382.0,11.0,35.0,190.0,57.0,38.0,18.0,21.0,12.0
2018-04-24,331.0,12.0,38.0,144.0,46.0,36.0,19.0,21.0,15.0
2018-04-25,352.0,15.0,40.0,157.0,51.0,34.0,21.0,21.0,13.0
2018-04-26,321.0,11.0,41.0,135.0,56.0,30.0,19.0,20.0,9.0
2018-04-27,362.0,10.0,39.0,164.0,61.0,30.0,20.0,24.0,14.0
2018-04-28,390.0,13.0,35.0,200.0,64.0,29.0,21.0,18.0,10.0
2018-04-29,390.0,11.0,35.0,194.0,58.0,33.0,22.0,23.0,14.0
2018-04-30,359.0,10.0,37.0,159.0,63.0,35.0,22.0,20.0,13.0
2018-05-01,328.0,9.0,38.0,143.0,60.0,28.0,20.0,19.0,11.0
2018-05-02,336.0,8.0,39.0,150.0,60.0,29.0,19.0,18.0,13.0
2018-05-03,347.0,9.0,43.0,160.0,59.0,28.0,16.0,21.0,11.0
2018-05-04,371.0,12.0,42.0,182.0,59.0,27.0,16.0,18.0,15.0
2018-05-05,400.0,11.0,44.0,206.0,67.0,28.0,14.0,17.0,13.0
2018-05-06,375.0,9.0,37.0,199.0,60.0,27.0,17.0,15.0,11.0
2018-05-07,357.0,12.0,38.0,164.0,63.0,31.0,17.0,18.0,14.0
2018-05-08,334.0,11.0,40.0,154.0,52.0,29.0,17.0,21.0,10.0
2018-05-09,338.0,9.0,40.0,155.0,53.0,32.0,18.0,18.0,13.0
2018-05-10,317.0,6.0,40.0,145.0,52.0,24.0,17.0,22.0,11.0
2018-05-11,347.0,6.0,38.0,166.0,57.0,26.0,22.0,22.0,10.0
2018-05-12,394.0,7.0,41.0,211.0,63.0,23.0,18.0,21.0,10.0
2018-05-13,357.0,8.0,37.0,183.0,59.0,34.0,15.0,15.0,6.0
2018-05-14,354.0,9.0,46.0,159.0,60.0,34.0,16.0,17.0,13.0
2018-05-15,335.0,10.0,46.0,148.0,54.0,30.0,14.0,24.0,9.0
2018-05-16,332.0,9.0,44.0,146.0,57.0,28.0,16.0,21.0,11.0
2018-05-17,348.0,11.0,44.0,153.0,61.0,31.0,13.0,22.0,13.0
2018-05-18,355.0,10.0,41.0,158.0,64.0,32.0,15.0,22.0,13.0
2018-05-19,367.0,10.0,35.0,189.0,60.0,33.0,12.0,15.0,13.0
2018-05-20,372.0,10.0,31.0,199.0,57.0,35.0,14.0,15.0,11.0
2018-05-21,325.0,10.0,34.0,145.0,59.0,31.0,17.0,17.0,12.0
2018-05-22,329.0,8.0,40.0,144.0,62.0,30.0,16.0,15.0,14.0
2018-05-23,339.0,11.0,42.0,147.0,63.0,29.0,21.0,17.0,9.0
2018-05-24,366.0,15.0,45.0,156.0,66.0,29.0,24.0,19.0,12.0
2018-05-25,382.0,11.0,39.0,189.0,62.0,26.0,21.0,19.0,15.0
2018-05-26,404.0,11.0,34.0,227.0,68.0,20.0,18.0,16.0,10.0
2018-05-27,402.0,10.0,34.0,228.0,64.0,25.0,14.0,15.0,12.0
2018-05-28,416.0,12.0,36.0,253.0,53.0,27.0,15.0,12.0,8.0
2018-05-29,342.0,13.0,42.0,166.0,56.0,26.0,13.0,15.0,11.0
2018-05-30,320.0,9.0,41.0,142.0,55.0,29.0,16.0,18.0,10.0
2018-05-31,324.0,8.0,39.0,141.0,63.0,29.0,14.0,21.0,9.0
2018-06-01,363.0,9.0,42.0,165.0,66.0,34.0,14.0,23.0,10.0
2018-06-02,397.0,9.0,40.0,212.0,70.0,26.0,14.0,19.0,7.0
2018-06-03,393.0,7.0,36.0,221.0,59.0,32.0,14.0,17.0,7.0
2018-06-04,346.0,8.0,41.0,156.0,66.0,35.0,11.0,22.0,7.0
2018-06-05,344.0,8.0,46.0,145.0,62.0,36.0,14.0,21.0,12.0
2018-06-06,359.0,7.0,46.0,152.0,66.0,36.0,15.0,23.0,14.0
2018-06-07,359.0,7.0,45.0,150.0,68.0,37.0,17.0,26.0,9.0
2018-06-08,362.0,8.0,41.0,160.0,69.0,38.0,18.0,19.0,9.0
2018-06-09,386.0,8.0,42.0,182.0,71.0,35.0,19.0,19.0,10.0
2018-06-10,365.0,7.0,40.0,185.0,57.0,35.0,17.0,17.0,7.0
2018-06-11,340.0,6.0,39.0,155.0,59.0,33.0,13.0,24.0,11.0
2018-06-12,330.0,7.0,42.0,142.0,59.0,31.0,13.0,23.0,13.0
2018-06-13,335.0,6.0,48.0,149.0,61.0,29.0,11.0,20.0,11.0
2018-06-14,339.0,8.0,46.0,145.0,68.0,27.0,12.0,21.0,12.0
2018-06-15,360.0,10.0,37.0,166.0,74.0,28.0,14.0,16.0,15.0
2018-06-16,394.0,11.0,39.0,199.0,69.0,29.0,16.0,17.0,14.0
2018-06-17,384.0,15.0,37.0,200.0,55.0,30.0,15.0,16.0,16.0
2018-06-18,370.0,15.0,39.0,162.0,60.0,32.0,20.0,21.0,21.0
2018-06-19,361.0,13.0,41.0,160.0,57.0,29.0,19.0,26.0,16.0
2018-06-20,349.0,8.0,39.0,164.0,57.0,33.0,20.0,17.0,11.0
2018-06-21,369.0,10.0,43.0,161.0,67.0,32.0,19.0,23.0,14.0
2018-06-22,379.0,10.0,45.0,176.0,65.0,31.0,20.0,22.0,10.0
2018-06-23,448.0,11.0,42.0,246.0,69.0,30.0,18.0,16.0,16.0
2018-06-24,434.0,11.0,40.0,257.0,60.0,27.0,13.0,12.0,14.0
2018-06-25,365.0,10.0,42.0,174.0,62.0,30.0,11.0,17.0,19.0
