,Fishing,TugTow,Recreational,Passenger,Cargo,Tanker,Other,Unavailable
8,12,31,167,22,28,8,20,30
90,16,44,200,38,44,4,29,11
91,14,44,213,42,47,6,28,7
92,13,44,224,48,42,7,32,5
93,12,37,254,44,42,11,31,7
94,11,36,226,34,40,11,24,5
95,13,44,196,41,41,10,26,7
96,13,47,187,35,43,10,33,3
97,15,47,181,36,45,7,27,9
98,13,47,197,36,48,10,27,7
99,12,46,225,40,48,10,25,6
9,13,35,229,22,29,4,23,26
